ABT-199,Glasdegib,Larotrectinib,三氧化二砷,二甲双胍,依托泊苷,克拉曲滨,去甲氧柔红霉素,地西他滨,安丫啶,恩西地平,柔红霉素,氟达拉滨,泊纳替尼,环磷酰胺,米托蒽醌,索拉菲尼,芦可替尼,西达苯胺,达沙替尼,阿克拉霉素,阿扎胞苷,阿糖胞苷,高三尖杉酯碱
1,0,0,0,0,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,1,1
2,0,0,1,0,0,1,1,0,1,1,2,1,0,0,1,0,0,1,0,2,2,2,2
2,0,0,2,0,1,2,2,1,2,1,3,2,1,1,2,0,1,0,1,3,2,3,2
0,0,0,1,0,0,2,0,0,1,0,1,0,0,0,1,0,0,0,0,2,0,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,1,1,0,0,2,0,1,0,1,0,1,0,1,0,1,1,2,2,3
2,0,0,1,0,0,1,1,0,1,0,2,1,0,0,1,0,0,0,0,1,1,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,2,0,0,1,0,1,2,0,0,1,0,0,0,0,0,1,1,1
1,0,0,1,0,0,2,1,0,2,0,3,1,1,0,2,0,0,0,1,3,3,3,3
2,0,0,0,0,2,3,2,1,3,0,3,1,1,0,2,0,1,0,1,2,3,3,3
3,0,0,2,0,1,3,1,1,2,0,2,1,1,0,2,0,1,1,1,0,2,3,3
0,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0
0,0,0,0,0,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0
0,0,1,0,0,0,1,1,0,0,1,1,1,1,0,1,0,0,0,0,1,1,1,0
1,0,0,1,0,0,1,0,0,1,0,1,1,0,1,1,0,0,0,0,0,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,0,0
0,1,1,0,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,1,1,1,0,2
0,0,1,2,0,0,1,1,0,0,1,0,1,0,0,1,0,1,0,0,1,1,1,0
1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,1,1,1,1
2,1,0,2,0,1,2,1,1,1,0,1,2,1,0,1,0,1,0,0,0,2,2,2
0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1
3,2,1,2,0,2,2,1,0,3,1,3,2,3,0,3,1,3,2,1,0,3,2,3
2,1,1,2,0,0,2,1,0,1,1,1,2,2,0,1,0,1,0,0,0,1,1,2
1,1,1,0,0,0,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0,1,1,0
1,1,1,1,0,0,2,2,0,2,1,2,2,1,1,2,0,1,0,1,1,2,2,1
0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,1,1,0
2,1,1,2,0,2,2,1,0,2,1,2,1,1,1,2,0,1,1,2,1,2,2,2
0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,1,0,0,1,2,1,0,2,1,2,2,2,0,2,0,1,1,1,1,2,2,2
0,1,1,0,0,0,2,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,2,2
1,0,0,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0
2,1,1,1,0,1,2,1,1,2,1,2,2,1,1,2,1,1,0,1,0,2,2,2
0,1,1,1,0,0,2,1,0,1,1,1,1,1,0,1,0,1,0,1,0,1,1,1
1,0,0,1,0,0,2,0,0,2,0,2,1,1,0,1,0,0,0,0,0,1,1,2
2,2,1,2,0,0,2,1,0,2,1,1,1,1,0,1,0,2,0,2,1,1,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0
0,1,1,0,0,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0
1,0,0,1,0,0,2,1,0,1,1,1,2,1,0,1,0,1,0,1,0,0,0,0
1,1,1,2,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,1
1,1,1,1,0,0,1,0,0,1,1,1,2,1,0,1,0,1,0,0,0,1,1,0
2,0,0,2,0,0,2,0,0,2,0,1,1,0,0,1,0,0,0,0,0,1,0,2
1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,2
2,0,0,2,0,1,2,0,0,2,0,2,1,0,0,2,0,0,0,0,0,0,2,3
1,0,0,1,0,0,1,0,0,1,0,2,1,1,0,1,0,1,0,0,0,1,2,2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,1,1
2,0,0,2,0,0,2,0,0,2,1,1,1,0,0,1,0,0,0,0,0,2,2,2
